0.000311, 4.981831, 11.500000, 0.000090, 4.000326, 0.249092, 50, 0.012455, 
0.002028, 3.771569, 11.500001, 0.000561, 4.002043, 0.437670, 50, 0.034338, 
0.005892, 8.424669, 11.500005, 0.001623, 4.005908, 0.858903, 50, 0.077283, 
0.012766, 6.896451, 11.500022, 0.003515, 4.012781, 1.203726, 50, 0.137470, 
0.023516, 6.935086, 11.500076, 0.006480, 4.023531, 1.550480, 50, 0.214994, 
0.039016, 6.998137, 11.500210, 0.010772, 4.039031, 1.900387, 50, 0.310013, 
0.060154, 7.091339, 11.500500, 0.016653, 4.060167, 2.254954, 50, 0.422761, 
0.087832, 7.219877, 11.501068, 0.024404, 4.087839, 2.615948, 50, 0.553558, 
0.122539, 3.911129, 11.502084, 0.034201, 4.122531, 2.811504, 50, 0.694133, 
0.164346, 0.570741, 11.503762, 0.046117, 4.164304, 2.840041, 50, 0.836135, 
0.213336, 0.668577, 11.506366, 0.060235, 4.213225, 2.873470, 50, 0.979809, 
0.269604, 0.751813, 11.510213, 0.076649, 4.269361, 2.911061, 50, 1.125362, 
0.333251, 0.812838, 11.515682, 0.095461, 4.332773, 2.951703, 50, 1.272947, 
0.404383, 0.841236, 11.523214, 0.116776, 4.403505, 2.993765, 50, 1.422635, 
0.483102, 0.823413, 11.533318, 0.140697, 4.481573, 3.034935, 50, 1.574382, 
0.569502, 0.742441, 11.546569, 0.167317, 4.566950, 3.072057, 50, 1.727985, 
0.663653, 0.578431, 11.563608, 0.196708, 4.659547, 3.100979, 50, 1.883034, 
0.765596, 0.310035, 11.585137, 0.228910, 4.759191, 3.116481, 50, 2.038858, 
0.875320, -0.082725, 11.611898, 0.263911, 4.865601, 3.112344, 50, 2.194475, 
0.992748, -0.613697, 11.644661, 0.301637, 4.978366, 3.081660, 50, 2.348558, 
1.117719, -1.284141, 11.684184, 0.341926, 5.096923, 3.017453, 50, 2.499431, 
1.249975, -2.075404, 11.731174, 0.384519, 5.220550, 2.913682, 50, 2.645115, 
1.389147, -2.942986, 11.786243, 0.429047, 5.348363, 2.766533, 50, 2.783441, 
1.534759, -3.815196, 11.849855, 0.475035, 5.479345, 2.575773, 50, 2.912230, 
1.686235, -4.599662, 11.922286, 0.521907, 5.612382, 2.345790, 50, 3.029520, 
1.842925, -5.198959, 12.003596, 0.569011, 5.746324, 2.085842, 50, 3.133812, 
2.004139, -5.532599, 12.093624, 0.615657, 5.880058, 1.809212, 50, 3.224272, 
2.169181, -5.558490, 12.192002, 0.661150, 6.012574, 1.531288, 50, 3.300837, 
2.337390, -5.285469, 12.298192, 0.704826, 6.143027, 1.267014, 50, 3.364187, 
2.508171, -4.771505, 12.411536, 0.746091, 6.270774, 1.028439, 50, 3.415609, 
