50, 0.000313, 0.012500, 
50, 0.001947, 0.032683, 
50, 0.005624, 0.073554, 
50, 0.012165, 0.130820, 
50, 0.022393, 0.204553, 
50, 0.037136, 0.294871, 
50, 0.057234, 0.401949, 
50, 0.083535, 0.526031, 
50, 0.116495, 0.659190, 
50, 0.156167, 0.793444, 
50, 0.202617, 0.929005, 
50, 0.255921, 1.066070, 
50, 0.316162, 1.204821, 
50, 0.383432, 1.345406, 
50, 0.457829, 1.487929, 
50, 0.539450, 1.632429, 
50, 0.628393, 1.778850, 
50, 0.724743, 1.927010, 
50, 0.828571, 2.076567, 
50, 0.939920, 2.226971, 
50, 1.058792, 2.377433, 
50, 1.185136, 2.526895, 
50, 1.318837, 2.674020, 
50, 1.459699, 2.817222, 
50, 1.607436, 2.954740, 
50, 1.761673, 3.084755, 
50, 1.921951, 3.205560, 
50, 2.087738, 3.315740, 
50, 2.258456, 3.414350, 
50, 2.433507, 3.501030, 
50, 2.612309, 3.576041, 
50, 2.794319, 3.640202, 
50, 2.979057, 3.694756, 
50, 3.166116, 3.741180, 
50, 3.355166, 3.780996, 
50, 3.545946, 3.815602, 
50, 3.738253, 3.846147, 
50, 3.931926, 3.873454, 
50, 4.126825, 3.897983, 
50, 4.322816, 3.919817, 
50, 4.519749, 3.938662, 
50, 4.717442, 3.953847, 
50, 4.915658, 3.964325, 
50, 5.114090, 3.968649, 
50, 5.312338, 3.964951, 
50, 5.509883, 3.950913, 
50, 5.706072, 3.923763, 
50, 5.900089, 3.880347, 
50, 6.090957, 3.817361, 
50, 6.277554, 3.731937, 
50, 6.458695, 3.622825, 
50, 6.633320, 3.492493, 
50, 6.800828, 3.350161, 
50, 6.961572, 3.214875, 
50, 7.117366, 3.115892, 
50, 7.271698, 3.086629, 
50, 7.429281, 3.151671, 
50, 7.594992, 3.314212, 
50, 7.772715, 3.554456, 
50, 7.997343, 4.492563, 
50, 8.294770, 5.948538, 
50, 8.595134, 6.007283, 
50, 8.898455, 6.066431, 
50, 9.204735, 6.125585, 
50, 9.513950, 6.184299, 
50, 9.825740, 6.235804, 
50, 10.139414, 6.273479, 
50, 10.454265, 6.297035, 
50, 10.769571, 6.306118, 
50, 11.084586, 6.300304, 
50, 11.398542, 6.279111, 
50, 11.710642, 6.242000, 
50, 12.020061, 6.188387, 
50, 12.326237, 6.123514, 
50, 12.628851, 6.052273, 
50, 12.927523, 5.973441, 
50, 13.221811, 5.885763, 
50, 13.511214, 5.788059, 
50, 13.795185, 5.679415, 
50, 14.073160, 5.559513, 
50, 14.344617, 5.429139, 
50, 14.609160, 5.290856, 
50, 14.866649, 5.149781, 
50, 15.117356, 5.014136, 
50, 15.362110, 4.895091, 
50, 15.602375, 4.805294, 
50, 15.840175, 4.755994, 
50, 16.077855, 4.753601, 
50, 16.317726, 4.797423, 
50, 16.561723, 4.879947, 
50, 16.811197, 4.989467, 
