Position, Jerk, Y Point, Heading, X Point, Acceleration, Delta Time, Velocity, 
11.842896, -24.436110, 14.461415, 5.108618, 13.434084, -3.985482, 50, 8.008549, 
12.232037, -10.575786, 14.096885, 5.032927, 13.570278, -4.514272, 50, 7.782835, 
12.609677, -1.734191, 13.734777, 4.969007, 13.677468, -4.600981, 50, 7.552786, 
12.976214, 3.205910, 13.377833, 4.915757, 13.760776, -4.440686, 50, 7.330752, 
13.332330, 5.438149, 13.027522, 4.871866, 13.824812, -4.168778, 50, 7.122313, 
13.678660, 5.091871, 12.684630, 4.836071, 13.873495, -3.914185, 50, 6.926604, 
14.015695, 3.924405, 12.349588, 4.807256, 13.910092, -3.717965, 50, 6.740705, 
14.343751, 2.524224, 12.022663, 4.784481, 13.937310, -3.591753, 50, 6.561118, 
14.662975, 1.175056, 11.704072, 4.766973, 13.957397, -3.533001, 50, 6.384468, 
14.973364, -0.010174, 11.394037, 4.754110, 13.972234, -3.533509, 50, 6.207792, 
15.274868, -0.419202, 11.092741, 4.745394, 13.983404, -3.554469, 50, 6.030069, 
15.567643, 1.264542, 10.800099, 4.740424, 13.992255, -3.491242, 50, 5.855507, 
15.851990, 2.401413, 10.515856, 4.738900, 13.999931, -3.371172, 50, 5.686948, 
16.128120, 1.680777, 10.239827, 4.740613, 14.007413, -3.287133, 50, 5.522591, 
16.396167, 1.079459, 9.971904, 4.745426, 14.015551, -3.233160, 50, 5.360933, 
16.656201, 0.566461, 9.712045, 4.753269, 14.025089, -3.204837, 50, 5.200692, 
16.908239, 0.118884, 9.460274, 4.764127, 14.036686, -3.198892, 50, 5.040747, 
17.152244, -0.279182, 9.216685, 4.778035, 14.050927, -3.212852, 50, 4.880104, 
17.388137, -0.637262, 8.981435, 4.795071, 14.068332, -3.244715, 50, 4.717869, 
17.615799, -0.958399, 8.754746, 4.815357, 14.089357, -3.292635, 50, 4.553237, 
17.835075, -1.238406, 8.536905, 4.839046, 14.114398, -3.354555, 50, 4.385509, 
18.045781, -1.464440, 8.328257, 4.866320, 14.143778, -3.427777, 50, 4.214120, 
18.247716, -1.613055, 8.129200, 4.897383, 14.177748, -3.508430, 50, 4.038699, 
18.440673, -1.648147, 7.940167, 4.932439, 14.216469, -3.590837, 50, 3.859157, 
18.624464, -1.519865, 7.761607, 4.971678, 14.260005, -3.666830, 50, 3.675815, 
18.798942, -1.166150, 7.593949, 5.015247, 14.308309, -3.725138, 50, 3.489559, 
18.964042, -0.519827, 7.437557, 5.063209, 14.361222, -3.751129, 50, 3.302002, 
19.119824, 0.475569, 7.292679, 5.115506, 14.418477, -3.727351, 50, 3.115635, 
19.266517, 1.839287, 7.159383, 5.171908, 14.479723, -3.635386, 50, 2.933865, 
19.404562, 3.519378, 7.037515, 5.231975, 14.544565, -3.459417, 50, 2.760894, 
19.534628, 5.363252, 6.926670, 5.295038, 14.612615, -3.191255, 50, 2.601332, 
19.657606, 7.114412, 6.826212, 5.360208, 14.683549, -2.835534, 50, 2.459555, 
19.774552, 8.455891, 6.735324, 5.426428, 14.757141, -2.412740, 50, 2.338918, 
19.886604, 9.100959, 6.653104, 5.492561, 14.833269, -1.957692, 50, 2.241033, 
19.994873, 8.897128, 6.578658, 5.557496, 14.911882, -1.512835, 50, 2.165392, 
20.100347, 7.887983, 6.511179, 5.620247, 14.992945, -1.118436, 50, 2.109470, 
20.203811, 6.295075, 6.449985, 5.680027, 15.076373, -0.803682, 50, 2.069286, 
20.305820, 4.431156, 6.394528, 5.736283, 15.161990, -0.582125, 50, 2.040179, 
20.406698, 2.595538, 6.344367, 5.788690, 15.249513, -0.452348, 50, 2.017562, 
20.506571, 1.001521, 6.299137, 5.837122, 15.338557, -0.402272, 50, 1.997448, 
20.605407, -0.245212, 6.258517, 5.881610, 15.428660, -0.414532, 50, 1.976722, 
20.703065, -1.129091, 6.222206, 5.922296, 15.519317, -0.470987, 50, 1.953172, 
20.799335, -1.691033, 6.189910, 5.959390, 15.610008, -0.555538, 50, 1.925396, 
20.893966, -1.996721, 6.161339, 5.993141, 15.700223, -0.655374, 50, 1.892627, 
20.986695, -2.114830, 6.136202, 6.023814, 15.789480, -0.761116, 50, 1.854571, 
21.077258, -2.105311, 6.114211, 6.051672, 15.877332, -0.866381, 50, 1.811252, 
21.165402, -2.015432, 6.095085, 6.076967, 15.963376, -0.967153, 50, 1.762894, 
21.250894, -1.879659, 6.078552, 6.099933, 16.047254, -1.061136, 50, 1.709837, 
21.333518, -1.721850, 6.064352, 6.120785, 16.128649, -1.147229, 50, 1.652476, 
21.413079, -1.557597, 6.052239, 6.139719, 16.207282, -1.225108, 50, 1.591221, 
21.489403, -1.396522, 6.041982, 6.156909, 16.282914, -1.294935, 50, 1.526474, 
21.562334, -1.244174, 6.033367, 6.172510, 16.355334, -1.357143, 50, 1.458617, 
21.631734, -1.103413, 6.026193, 6.186660, 16.424362, -1.412314, 50, 1.388001, 
21.697481, -0.975210, 6.020280, 6.199481, 16.489843, -1.461074, 50, 1.314947, 
21.759468, -0.859690, 6.015458, 6.211080, 16.551642, -1.504059, 50, 1.239744, 
21.817601, -0.756103, 6.011575, 6.221553, 16.609645, -1.541864, 50, 1.162651, 
21.871796, -0.663619, 6.008494, 6.230981, 16.663753, -1.575045, 50, 1.083899, 
21.921980, -0.581096, 6.006088, 6.239438, 16.713880, -1.604100, 50, 1.003694, 
21.968091, -0.507418, 6.004246, 6.246986, 16.759954, -1.629471, 50, 0.922220, 
22.010074, -0.441509, 6.002868, 6.253682, 16.801913, -1.651546, 50, 0.839643, 
22.047879, -0.382352, 6.001864, 6.259572, 16.839705, -1.670664, 50, 0.756110, 
22.081467, -0.329019, 6.001157, 6.264699, 16.873286, -1.687115, 50, 0.671754, 
22.110802, -0.280605, 6.000680, 6.269096, 16.902617, -1.701145, 50, 0.586697, 
22.135854, -0.236418, 6.000373, 6.272794, 16.927667, -1.712966, 50, 0.501049, 
22.156600, -0.195712, 6.000189, 6.275817, 16.948412, -1.722751, 50, 0.414911, 
22.173081, 0.340790, 6.000087, 6.278194, 16.964893, -1.705712, 50, 0.329626, 
22.185618, 2.558112, 6.000036, 6.279988, 16.977430, -1.577806, 50, 0.250735, 
22.194745, 4.279330, 6.000013, 6.281286, 16.986557, -1.363840, 50, 0.182543, 
22.201001, 4.312864, 6.000004, 6.282171, 16.992813, -1.148197, 50, 0.125133, 
22.204930, 4.336276, 6.000001, 6.282726, 16.996742, -0.931383, 50, 0.078564, 
22.207073, 4.351543, 6.000000, 6.283028, 16.998885, -0.713806, 50, 0.042874, 
22.207978, 4.360608, 6.000000, 6.283156, 16.999790, -0.495775, 50, 0.018085, 
22.208188, 4.365054, 6.000000, 0.000000, 17.000000, -0.277523, 50, 0.004209, 
22.208188, 3.866828, 6.000000, 0.000000, 17.000000, -0.084181, 50, 0.000000, 
